source
Rimas Entertainment LLC
Records/Columbia
Republic Records
UMLE - Latino
RBMG/Def Jam
Internet Money Records / TenThousand Projects
BIGHIT MUSIC
CJ Music Group/T-Series
Columbia
Darkroom/Interscope Records
Warner Records
Victor Victor Worldwide
Shawn Mendes LP4-5 PS/ Island
Atlantic Records UK
Sony Music Latin
Taylor Swift
RCA Records Label
Atlantic/KSR
Friends Keep Secrets/Def Jam Recordings/Interscope Records
South Coast Music Group/Interscope Records
Top Dawg Entertainment/RCA Records
Monkey Puzzle/Atlantic
Columbia/B1 Recordings
Elektra (NEK)
Vertigo Berlin
Atlantic Records
Sony Music Latin/Duars Entertainment
White World Music
Sony Music Latin/La Industria
Rich Music
Universal-Island Records Ltd.
Olivia Rodrigo PS
Grade A Productions/Interscope Records
Kemosabe Records/RCA Records
Epic
Island Records
Selena Gomez Latin Project
Polydor Records
Cactus Jack/Epic
EMI / Interscope
Epic/Not So Fast
Intercord
"Universal Music, a division of Universal International Music BV"
OVO
Aftermath Entertainment/Atlantic
Ministry of Sound Recordings
YG Entertainment
La Base Music Group/ WK Records
Interscope Records*
Universal Music LLC
ICY/Warner Records
Decca (UMO)
300 Entertainment
"Flow La Movie, Inc."
Virgin Music México
Perfect Havoc / Asylum Records
Epic/We The Best
"1400 Entertainment, Inc. / 10K Projects"
"Dreamville, Inc., Under exclusive license to Roc Nation Records"
Parlophone UK
NITRON music
"Sueños Globales, LLC"
Universal Music New Zealand Limited
Quality Control Music/Motown Records
Run It Up Records/Island
Flow La Movie
Universal Music Latino
DALE PLAY Records
Big Beat Records
WM Chile
XO / Republic Records
Winners Circle/RCA Records
WEA Latina
Hell Beach
Nice Life/Atlantic
Room28
Rock The World/IDJ/Kanye LP7
EMI
"MSFTSMusic / Roc Nation Records, LLC"
N&E Entertainment LLC
Chocolate City Music
WM South Africa
Epic Amsterdam
Neon16
XL Recordings
Capitol Records UK / EMI
DJ Snake Music Productions Limited
0207 Def Jam
KIDinaKORNER/Interscope Records
Thrive Music
Atlantic/Arthouse Records
Reprise
Geffen
MCA Nashville
Universal Records
Universal Music Spain S.L.
Legacy Recordings
Rhino
Columbia/Legacy
Capitol Records
EMI Catalogue
Paul McCartney Catalog
Sony Music CG
UMC (Universal Music Catalogue)
CAPITOL CATALOG MKT (C92)
Walt Disney Records
Bagua Records
"Three Name Productions, Inc./ Island Records & Republic Records"
"100 Entertainment, Inc"
UME - Global Clearing House
Atlantic/Sniper Gang
YEAR0001
Kid Ina Korner / Interscope
Universal Music Italia srL.
Disruptor Records/Columbia
Aftermath
Eminem Catalog PS
Not Fit For Society/RCA Records
Generation Now/Atlantic
"Producciones Ladon, S.A de C.V./Sony Music México"
WM Brazil
Syco Music
Red Zone Entertainment / IDJ
Sonar LLC.
ITNO/Columbia
TulusCompany
Republic Records - Stray Kids
Hollywood Records
Universal Music Latino / Asylum Records UK
Davi Kneip
Roc Nation W Smith P&D
Ace Records
BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO
"Genie Music Corporation, Stone Music Entertainment"
Epic/Freebandz
P NATION
Justin Bieber 2021 PS/ Def Jam
pgLang/Top Dawg Entertainment/Aftermath/Interscope Records
Mercury Records/Republic Records
Kemosabe Records/RCA Records/Sony Music Latin
Fish People
Sony Music UK
Sony Music Entertainment Chile S.A
88rising Music
Parkwood Entertainment/Columbia
Interscope Records
Thirty Knots/Columbia
Blackened Recordings / Universal Music
L-M Records/RCA Records
Central Cee
DALE PLAY Records / SSJ Records
Sony Music Entertainment India Pvt. Ltd.
Nvak Collective
The Weeknd/Lyric
Chris Brown Entertainment/RCA Records
Friends Keep Secrets/Interscope Records
DALE PLAY Records / Flakk Team
Rimas Entertainment LLC.
Loma Vista Recordings
Starship Entertainment
Domino Recording Co
Mavin Records / Jonzing World
"Tommy Boy Music, LLC"
Pablito Pesadilla
BorderTown Records
Joytime Collective/Grade A Productions/Interscope Records
JVKE
Black Panther 2 Rihanna Recordings
Aura Music Corp.
OVO / Republic Records
Roc Nation/Def Jam/Hollywood
Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
Interscope
Human Re Sources
ADOR
Warner Music India
Jive
Rancho Humilde/Street Mob Records
La Leyenda LLC
THEBLACKLABEL
BorderKid Records/Sony Music Latin
Som Livre
Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT
Morgan Wallen
Universal Music Ltda.
Mosley Music/Interscope Records
Uptown / Republic Records
Tha Lights Global
Harbour Artists & Music
Sony Music Argentina
AgroPlay
"Babilonia Music, S.A. De C.V."
5020 Records
DEL Records
Universal Music Argentina S.A.
Rancho Humilde
Columbia Records/Duars Entertainment/Sony Music Latin
WM Mexico
SME Korea Inc.
OVO/Republic Records
Street Mob Records/PFL/Geffen Records
Miserable Music Group
Worms Music
Geffen Records
5K Records Limited
Universal Music AB
WM Finland
Alamo
Lumbre Music/Columbia
APG Inc – FF10
Neighbourhood Records (UMG UK / UMUK)
Sony Music Entertainment
Double P Records
Black Butter
"NEON16, LLC"
EMI Recorded Music Australia Pty Ltd
"Socios Music, LLC"
Bichota/Interscope Records
Oliver Anthony Music/ radiowv
Street Mob Records
Warner Records/Major Recordings
T-Series
Acqustic
Dead Oceans
FAX Records/Epic
OVO/Republic
Los CT Records
Lord Huron
Lions Gate Entertainment Inc. under exclusive license to Geffen Records
Big Buzz Productions
Universal Digital Enterprises
Dreamville/Interscope
RCA Victor
RCA Bluebird
2023 Double P Records
F-Stop Records/Atlantic
"Slaughter Gang, LLC/Epic Records"
"Night Street Records, Inc./Warner Records Inc."
'94 Sounds/RCA Records
Hot Girl Productions
"Badsin Records, LLC"
YG Marley Music
YZY
Warner Music
Djo
FloyyMenor under exclusive license to UnitedMasters LLC
Pablo Nunes
TrapSoul/RCA Records
Internet Money Records / 10K Projects
Hypers
Wilburn Holding Co./Boominati/Epic/Republic
Rubyworks / Universal-Island Records Ltd
Artemas
BELIFT LAB
"Hundred Days Records, LLC"
